Unnamed: 0,Date,CustomerID,typeM,Series,Value
0,2022-06-30,83001,Pulse1,P1,502
1,2022-06-30,83002,Pulse1_Total,T1,302
2,2022-06-30,83003,Switch2,SW2,720
3,2022-06-30,83004,Pulse1_Total,T1,473
4,2022-06-30,83005,Pulse1,P1,661
5,2022-06-30,83006,Pulse1_Total,T1,185
6,2022-06-30,83007,Pulse1,P1,705
7,2022-06-30,83008,Pulse1_Total,T1,201
8,2022-06-30,83009,Pulse1,P1,655
9,2022-06-30,83010,Pulse1_Total,T1,415
10,2022-06-30,83011,Pulse1,P1,181
11,2022-06-30,83012,Pulse1_Total,T1,123
12,2022-06-30,83013,Pulse1,P1,866
13,2022-06-30,83014,Pulse1,P1,640
14,2022-06-30,83015,Pulse1_Total,T1,199
15,2022-06-30,83016,Pulse1_Total,T1,387
16,2022-06-30,83017,Pulse1,P1,293
17,2022-06-30,83018,Pulse1_Total,T1,442
18,2022-06-30,83019,Pulse1,P1,521
19,2022-06-30,83020,Pulse1_Total,T1,366
20,2022-06-30,83021,Pulse1,P1,327
21,2022-06-30,83022,Pulse1,P1,493
22,2022-06-30,83023,Switch2,SW2,644
23,2022-06-30,83024,Pulse1_Total,T1,46
24,2022-06-30,83025,Pulse1_Total,T1,763
25,2022-06-30,83026,Pulse1_Total,T1,315
26,2022-06-30,83027,Pulse1,P1,114
27,2022-06-30,83028,Pulse1,P1,757
28,2022-06-30,83029,Pulse1,P1,152
29,2022-06-30,83030,Switch2,SW2,87
30,2022-06-30,83031,Pulse1_Total,T1,404
31,2022-06-30,83032,Pulse1_Total,T1,744
32,2022-06-30,83033,Pulse1_Total,T1,808
33,2022-06-30,83034,Pulse1,P1,657
34,2022-06-30,83035,Pulse1,P1,868
35,2022-06-30,83036,Pulse1,P1,649
36,2022-06-30,83037,Pulse1_Total,T1,504
37,2022-06-30,83038,Pulse1_Total,T1,832
38,2022-06-30,83039,Pulse1_Total,T1,944
39,2022-06-30,83040,Pulse1,P1,220
40,2022-06-30,83041,Pulse1,P1,583
41,2022-06-30,83042,Pulse1,P1,78
42,2022-06-30,83043,Pulse1_Total,T1,257
43,2022-06-30,83044,Pulse1_Total,T1,358
44,2022-06-30,83045,Switch2,SW2,30
45,2022-06-30,83046,Pulse1,P1,12
46,2022-06-30,83047,Pulse1,P1,951
47,2022-06-30,83048,Pulse1_Total,T1,270
48,2022-06-30,83049,Pulse1_Total,T1,845
49,2022-06-30,83050,Pulse1_Total,T1,282
50,2022-06-30,83051,Pulse1,P1,613
51,2022-06-30,83052,Pulse1,P1,344
52,2022-06-30,83053,Pulse1,P1,6
53,2022-06-30,83054,Pulse1_Total,T1,433
54,2022-06-30,83055,Pulse1_Total,T1,123
55,2022-06-30,83056,Pulse1,P1,821
56,2022-06-30,83057,Pulse1,P1,221
57,2022-06-30,83058,Pulse1_Total,T1,368
58,2022-06-30,83059,Pulse1_Total,T1,658
59,2022-06-30,83060,Pulse1_Total,T1,233
60,2022-06-30,83061,Pulse1,P1,397
61,2022-06-30,83062,Pulse1,P1,233
62,2022-06-30,83063,Pulse1,P1,150
63,2022-06-30,83064,Pulse1_Total,T1,401
64,2022-06-30,83065,Pulse1_Total,T1,235
65,2022-06-30,83066,Pulse1_Total,T1,227
66,2022-06-30,83067,Pulse1,P1,57
67,2022-06-30,83068,Pulse1,P1,823
68,2022-06-30,83069,Pulse1,P1,994
69,2022-06-30,83070,Pulse1_Total,T1,217
70,2022-06-30,83071,Pulse1_Total,T1,309
71,2022-06-30,83072,Pulse1_Total,T1,80
72,2022-06-30,83073,Pulse1,P1,929
73,2022-06-30,83074,Pulse1,P1,615
74,2022-06-30,83075,Pulse1,P1,290
75,2022-06-30,83076,Pulse1_Total,T1,158
76,2022-06-30,83077,Pulse1_Total,T1,537
77,2022-06-30,83078,Pulse1,P1,482
78,2022-06-30,83079,Pulse1,P1,41
79,2022-06-30,83080,Pulse1_Total,T1,258
80,2022-06-30,83081,Pulse1_Total,T1,333
81,2022-06-30,83082,Pulse1_Total,T1,273
82,2022-06-30,83083,Pulse1,P1,39
83,2022-06-30,83084,Pulse1,P1,391
84,2022-06-30,83085,Pulse1,P1,247
85,2022-06-30,83086,Pulse1_Total,T1,925
86,2022-06-30,83087,Pulse1_Total,T1,220
87,2022-06-30,83088,Pulse1_Total,T1,732
88,2022-06-30,83089,Pulse1,P1,274
89,2022-06-30,83090,Pulse1,P1,472
90,2022-06-30,83091,Pulse1,P1,956
91,2022-06-30,83092,Pulse1_Total,T1,405
92,2022-06-30,83093,Switch2,SW2,984
93,2022-06-30,83094,Pulse1_Total,T1,676
94,2022-06-30,83095,Pulse1,P1,199
95,2022-06-30,83096,Pulse1_Total,T1,701
96,2022-06-30,83097,Pulse1,P1,686
97,2022-06-30,83098,Switch2,SW2,362
98,2022-06-30,83099,Pulse1,P1,933
99,2022-06-30,83100,Pulse1_Total,T1,518
100,2022-06-30,83101,Pulse1_Total,T1,943
101,2022-06-30,83102,Pulse1_Total,T1,485
102,2022-06-30,83103,Pulse1,P1,677
103,2022-06-30,83104,Pulse1,P1,196
104,2022-06-30,83105,Pulse1,P1,315
105,2022-06-30,83106,Pulse1_Total,T1,81
106,2022-06-30,83107,Pulse1_Total,T1,479
107,2022-06-30,83108,Switch2,SW2,227
108,2022-06-30,83109,Pulse1,P1,109
109,2022-06-30,83110,Pulse1,P1,844
110,2022-06-30,83111,Pulse1_Total,T1,237
111,2022-06-30,83112,Pulse1_Total,T1,692
112,2022-06-30,83113,Pulse1_Total,T1,981
113,2022-06-30,83114,Pulse1,P1,143
114,2022-06-30,83115,Pulse1,P1,62
115,2022-06-30,83116,Pulse1,P1,539
116,2022-06-30,83117,Pulse1_Total,T1,284
117,2022-06-30,83118,Pulse1_Total,T1,564
118,2022-06-30,83119,Pulse1_Total,T1,528
119,2022-06-30,83120,Pulse1,P1,691
120,2022-06-30,83121,Pulse1,P1,236
121,2022-06-30,83122,Pulse1,P1,91
